document,old_value,new_value,count
Complaint Negligent Repair (Single Plaintiff).docx,<< Matter.ResponsibleAttorney >>,<< Matter.ResponsibleAttorney_CHANGE1 >>,2
Complaint Negligent Repair (Single Plaintiff).docx,<< MATTER.CUSTOMFIELD.PLAINTIFFSNAMESHORT >>,<< MATTER.CUSTOMFIELD.PLAINTIFFSNAMESHORT_CHANGE2 >>,4
Complaint Negligent Repair (Single Plaintiff).docx,<< Matter.CustomField.PlaintiffsFullLegalName >>,<< Matter.CustomField.PlaintiffsFullLegalName_CHANGE3 >>,1
MBUSA Complaint Negligent Repair (Single Plaintiff).docx,<< Matter.ResponsibleAttorney >>,<< Matter.ResponsibleAttorney_CHANGE1 >>,2
MBUSA Complaint Negligent Repair (Single Plaintiff).docx,<< MATTER.CUSTOMFIELD.PLAINTIFFSNAMESHORT >>,<< MATTER.CUSTOMFIELD.PLAINTIFFSNAMESHORT_CHANGE2 >>,4
MBUSA Complaint Negligent Repair (Single Plaintiff).docx,<< Matter.CustomField.PlaintiffsFullLegalName >>,<< Matter.CustomField.PlaintiffsFullLegalName_CHANGE3 >>,1
NL version - MTC and Decl. SROGs (Verifications).docx,<< MATTER.CUSTOMFIELD.PLAINTIFFSNAMESHORT >>,<< MATTER.CUSTOMFIELD.PLAINTIFFSNAMESHORT_CHANGE2 >>,6
NL version - MTC and Decl. SROGs (Verifications).docx,<< Matter.CustomField.PlaintiffsFullLegalName >>,<< Matter.CustomField.PlaintiffsFullLegalName_CHANGE3 >>,1
